spanish,english,example,notes,tags
¿Cómo está?,How are you?,"Buenos días, señor López. ¿Cómo está?",Formal singular (usted),formal
¿Cómo están?,How are you?,"Buenas tardes, señores. ¿Cómo están?",Plural; also informal in Latin America,formal
"Hola, ¿cómo está?",Hello. How are you?,"Hola, ¿cómo está, señora García?",Formal singular (usted),formal
"Hola, ¿cómo están?",Hello. How are you?,"Hola, ¿cómo están todos esta mañana?",Plural; also informal in Latin America,formal
mucho gusto,Nice to meet you,"Mucho gusto, señor Rivera; soy Ana.",,formal
gusto en verlo,Nice to see you,"Gusto en verlo otra vez, señor Torres.",Formal singular; masculine or mixed reference,formal
gusto en verlos,Nice to see you,"Gusto en verlos de nuevo, señores.",Formal plural; masculine or mixed reference,formal
buenas tardes,Good afternoon,"Buenas tardes, profesora; ¿cómo está?",,formal
¿Cómo estás?,How are you?,"Hola, Marta. ¿Cómo estás hoy?",Informal singular (tú),informal
"Hola, ¿cómo estás?",Hi. How are you?,"Hola, ¿cómo estás después del viaje?",Informal singular (tú),informal
¿Qué hay de nuevo?,What's new?,"¿Qué hay de nuevo, Carlos?",,informal
¿Cómo te va?,How's it going?,"Hola, amiga. ¿Cómo te va?",Informal singular,informal
¿Cómo les va?,How's it going?,"Hola a todos. ¿Cómo les va?",Informal plural,informal
¿Qué onda?,What's up?,"¡Hola, Luis! ¿Qué onda?",Very casual; especially common in Mexico,informal
¿Qué pasa?,What's up?,"Hola, Ana. ¿Qué pasa?",Casual,informal
¿Cómo van las cosas?,How are things?,"¿Cómo van las cosas en tu nuevo trabajo?",Informal,informal
